id,geom,longitude,latitude,classname,time,img_received,utm_x,utm_y,utm_z,regionname_1,regionname_2,regionname_3,regionname_4,roadaddr,roadaddrnum,isprocessed,mb_serial,mt_serial
39777,0101000020E610000072D2B9162C2B60408F114187F9FF4140,129.3491319,35.9998025,pothole,2024-06-24 12:42:00.390136+09,TRUE,35.99979,129.349197,35.90432,경상북도,포항시 남구,연일읍,생지리,NULL,NULL,FALSE,NULL,MTPohangPC16
39825,0101000020E6100000A0D2AC643C2B604081F9AF52EF024240,129.3511222,36.02292856,pothole,2024-06-24 17:55:38.229639+09,TRUE,36.02285,129.35112,32.109165,경상북도,포항시 북구,득량동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC16
39956,0101000020E610000037E2DD134E2B604009153EF1CB024240,129.353281,36.02184883,pothole,2024-06-25 15:29:51.245745+09,TRUE,36.021893,129.353226,36.888714,경상북도,포항시 북구,죽도동,NULL,NULL,NULL,FALSE,NULL,MTPohangPC16
40051,0101000020E61000008E7FEB2A7B2B60407C6F67AA9A044240,129.3587851,36.03597002,pothole,2024-07-12 10:05:51.763267+09,TRUE,36.036003,129.358841,39.001312,경상북도,포항시 북구,용흥동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40218,0101000020E61000007E87C287322B6040F132B9469D014240,129.3499183,36.01261219,pothole,2024-07-12 12:23:39.315532+09,TRUE,36.012668,129.349886,34.492085,경상북도,포항시 남구,상도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40227,0101000020E6100000458FC766722B6040D77249B2C6014240,129.357715,36.01387623,pothole,2024-07-12 12:27:22.458131+09,TRUE,36.013808,129.357708,31.323473,경상북도,포항시 남구,상도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40248,0101000020E610000016512F5F7D2B6040D6DCCB3718034240,129.3590542,36.02417657,pothole,2024-07-12 12:44:03.638511+09,TRUE,36.024243,129.359081,33.009964,경상북도,포항시 북구,죽도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40375,0101000020E61000007D1CADEC782B60403B766EC178044240,129.3585113,36.03493517,pothole,2024-07-12 17:54:11.441128+09,TRUE,36.034856,129.358461,40.145453,경상북도,포항시 북구,용흥동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40400,0101000020E610000089B9D4E88C2B6040A3FEAF1991034240,129.3609509,36.02786561,pothole,2024-07-12 18:18:31.713537+09,TRUE,36.027837,129.361011,34.09521,경상북도,포항시 북구,죽도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40508,0101000020E61000002EDA5F20D02B60405B1778DA61064240,129.3691561,36.04986125,pothole,2024-07-12 19:15:58.649726+09,TRUE,36.049884,129.369231,38.324053,경상북도,포항시 북구,학산동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40534,0101000020E61000004921BCDA222B604016E52CD4A3034240,129.3480047,36.02843716,pothole,2024-07-13 05:31:08.437568+09,TRUE,36.028425,129.348072,49.654244,경상북도,포항시 북구,학잠동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40574,0101000020E61000006E65E81ADF2A604035F72B6E20044240,129.3397345,36.0322397,pothole,2024-07-13 06:08:56.918292+09,TRUE,36.0323,129.339716,84.000176,경상북도,포항시 북구,득량동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40575,0101000020E61000005AF835F3FB2A60409AA3644A26044240,129.3432556,36.03241854,pothole,2024-07-13 06:10:18.987778+09,TRUE,36.032489,129.343231,58.504767,경상북도,포항시 북구,득량동,NULL,양학로,123,FALSE,PDCToolV1,MTPohangPC7
40584,0101000020E610000086C883E22D2B6040AFFAB6BA81034240,129.3493512,36.02739653,pothole,2024-07-13 06:15:59.011408+09,TRUE,36.027323,129.349414,39.217677,경상북도,포항시 북구,학잠동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
40665,0101000020E61000009919FD60652B6040294BEC4DA3024240,129.3561253,36.02060865,pothole,2024-07-13 07:16:21.724731+09,TRUE,36.020613,129.356206,35.084304,경상북도,포항시 북구,죽도동,NULL,NULL,NULL,FALSE,PDCToolV1,MTPohangPC7
